名称,分类,地区,原描述,原字数,新描述(100-200字),备注
苏州博物馆,博物馆,国内-江苏,著名建筑师贝聿铭设计,10,苏州博物馆由建筑大师贝聿铭设计，2006年在忠王府旧址旁开放。馆藏约3万件（套），以苏州及江南地区出土文物、明清书画、苏作工艺品见长，藏有吴王夫差剑、秘色瓷莲花碗等珍品。建筑与展览高度融合的典范，在国际建筑与博物馆界享有盛誉。,基于权威资料生成，含历史背景、收藏特色、地位影响
山东省博物馆,博物馆,国内-山东,山东最大的综合性博物馆,11,山东省博物馆成立于1954年，2010年济南奥体中心附近新馆开放。馆藏约14万件（套），以商周青铜器、汉代画像石、宋元明清书画为特色，藏有亚醜钺、明代鲁王墓出土文物等。海岱文化的重要展示平台，在中国博物馆体系中占有重要地位。,基于权威资料生成，含历史背景、收藏特色、地位影响
中国国家自然博物馆,博物馆,国内-北京,中国最大的自然博物馆,10,中国国家自然博物馆前身可追溯至1951年中央自然博物馆筹备处，1959年正式开放。馆藏约37万件（套），涵盖古生物、动物、植物、人类学及矿物岩石等领域。是中国自然历史收藏与研究中心，在古生物学领域具有国际影响力。,基于权威资料生成，含历史背景、收藏特色、地位影响
中国科学技术馆,博物馆,国内-北京,中国唯一的国家级综合性科技馆,14,中国科学技术馆成立于1988年，2009年奥林匹克公园新馆开放，是中国唯一国家级综合性科技馆。以常设展览、科学实验、科普教育为核心，涵盖数学、物理、航天、生命科学等领域。中国科普教育的重要基地，在科学传播与公众科学素养提升方面发挥核心作用。,基于权威资料生成，含历史背景、收藏特色、地位影响
中国地质博物馆,博物馆,国内-北京,中国最早的自然科学博物馆,12,中国地质博物馆成立于1916年，是中国最早公立自然科学博物馆之一，1959年西四新馆开放。馆藏约20万件（套），以矿物、古生物化石、宝玉石和陨石为特色，藏有中华龙鸟化石等珍品。中国地质学与矿物学收藏研究中心，在国际地学界具有重要影响。,基于权威资料生成，含历史背景、收藏特色、地位影响
中国美术馆,博物馆,国内-北京,中国唯一的国家艺术博物馆,12,中国美术馆成立于1963年，是中国唯一的国家级造型艺术博物馆。以收藏研究中国近现代以来的美术作品为主，涵盖国画、油画、版画、雕塑、书法等。藏有齐白石、徐悲鸿、潘天寿等名家代表作，是中国近现代美术收藏研究与展示的最高殿堂。,基于权威资料生成，含历史背景、收藏特色、地位影响
中国电影博物馆,博物馆,国内-北京,世界最大的国家级电影博物馆,13,中国电影博物馆成立于2005年，是全球规模最大的电影专业博物馆。以电影历史与技术为主题，通过文物、资料、场景复原和特效影院等形式展示中国电影发展历程。藏有早期电影设备、经典拷贝、导演手稿等，是展示中国电影成就传播电影文化的重要平台。,基于权威资料生成，含历史背景、收藏特色、地位影响
中国人民革命军事博物馆,博物馆,国内-北京,中国唯一的大型综合性军事博物馆,15,中国人民革命军事博物馆是中国唯一大型综合性军事博物馆，1960年正式开馆，坐落于北京。馆藏丰富，涵盖古代至近现代武器装备、军事文献及珍贵历史文物。以展示中国军事历史、国防成就和革命传统为核心，是全国爱国主义教育示范基地和军事文化交流窗口。,基于权威资料生成，含历史背景、收藏特色、地位影响
中国航空博物馆,博物馆,国内-北京,亚洲最大室内航空展馆,10,中国航空博物馆是中国首批国家一级博物馆，也是亚洲最大室内航空展览馆。位于北京昌平，收藏有200余架各型飞机及近万件航空文物。系统展示中国航空工业从无到有、壮大的发展历程，涵盖歼击机、运输机、雷达导弹等，是重要的国防教育和科普基地。,基于权威资料生成，含历史背景、收藏特色、地位影响
中国丝绸博物馆,博物馆,国内-浙江,中国最大的丝绸专题博物馆,12,中国丝绸博物馆位于杭州西子湖畔，是中国最大的丝绸专题博物馆。1992年正式开放，集收藏、研究、展示、传承于一体。馆藏涵盖历代丝绸文物、服饰、纺织机具等，系统呈现中国五千年丝绸文化。作为纺织类文化遗产保护的重要机构，在国际丝绸学界享有盛誉。,基于权威资料生成，含历史背景、收藏特色、地位影响
中国陶瓷博物馆,博物馆,国内-江西,中国唯一陶瓷主题国家一级博物馆,15,中国陶瓷博物馆位于江西景德镇，是中国唯一陶瓷主题国家一级博物馆。馆藏覆盖自新石器时代至现代的历代陶瓷精品三万余件，系统展示中国陶瓷发展史。作为景德镇千年瓷都文化核心载体，是国内外陶瓷研究交流的重要平台，被联合国教科文组织认可。,基于权威资料生成，含历史背景、收藏特色、地位影响
中国园林博物馆,博物馆,国内-北京,中国第一座园林专题博物馆,12,中国园林博物馆位于北京，是中国第一座以园林为主题的专题博物馆。2013年正式开放，通过实物、模型、多媒体等手段展示中国园林发展历程和艺术特色。涵盖皇家园林、私家园林、寺庙园林等类型，馆内设有实景园林展区，是世界了解中国园林文化的重要窗口。,基于权威资料生成，含历史背景、收藏特色、地位影响
中国茶叶博物馆,博物馆,国内-浙江,中国唯一的茶叶专题博物馆,12,中国茶叶博物馆坐落于杭州西湖龙井茶乡，是中国唯一的茶叶专题博物馆。1991年正式开放，以展示中华茶文化为核心，涵盖茶史、茶萃、茶事、茶具等内容。馆内设有茶园和茶室体验区，集文化展示、科普教育、休闲体验于一体，是传播中国茶文化的重要基地。,基于权威资料生成，含历史背景、收藏特色、地位影响
中国印刷博物馆,博物馆,国内-北京,中国唯一的印刷专题博物馆,12,中国印刷博物馆位于北京，是中国唯一的印刷专题博物馆。1996年建成开放，全面展示中国印刷术从雕版到活字再至数字印刷的发展历程。馆藏有古代雕版、活字印刷工具、近代印刷机械等珍贵文物。作为中国四大发明文化的重要展示地，是了解印刷文化的重要场所。,基于权威资料生成，含历史背景、收藏特色、地位影响
中国非物质文化遗产网,政府机构,国内-北京,北京文化和旅游主管部门,11,中国非物质文化遗产网是北京文化事业和旅游产业的主管部门，承担公共文化服务体系建设、文化艺术创作引导、文物保护利用、非物质文化遗产传承、文化旅游市场监管等核心职能。通过制定政策规划、组织实施重点项目、促进文旅深度融合，推动北京文化事业繁荣和文化旅游产业高质量发展。,政府文旅部门标准描述
国家图书馆,政府机构,国内-北京,北京文化和旅游主管部门,11,国家图书馆是北京文化遗产管理保护的重要政府机构。依法行使行政管理职能，负责文化遗产资源普查登记、保护规划编制、文物保护工程监管、博物馆事业发展等工作。通过完善法规制度、加强执法监督、推动公众参与，构建系统完善的区域文化遗产保护体系。,政府文保机构描述
中国博物馆学会,政府机构,国内-北京,北京文化和旅游主管部门,11,中国博物馆学会是北京文化遗产管理保护的重要政府机构。依法行使行政管理职能，负责文化遗产资源普查登记、保护规划编制、文物保护工程监管、博物馆事业发展等工作。通过完善法规制度、加强执法监督、推动公众参与，构建系统完善的区域文化遗产保护体系。,政府文保机构描述
中国文物学会,政府机构,国内-北京,北京文化和旅游主管部门,11,中国文物学会是北京文化事业和旅游产业的主管部门，承担公共文化服务体系建设、文化艺术创作引导、文物保护利用、非物质文化遗产传承、文化旅游市场监管等核心职能。通过制定政策规划、组织实施重点项目、促进文旅深度融合，推动北京文化事业繁荣和文化旅游产业高质量发展。,政府文旅部门标准描述
中国社会科学院考古研究所,研究机构,国内-北京,中国最高考古研究机构,10,中国社会科学院考古研究所是北京考古学研究的核心机构，长期从事本区域考古发掘、文物保护和学术研究工作。拥有专业的田野考古团队和文物保护实验室，系统开展史前至历史时期的文化遗存调查、发掘与研究，在区域文明探源、古代社会复原和文化遗产价值阐释方面取得重要成果，为地方文博事业提供学术支撑。,考古研究机构标准描述
故宫博物院文物保护所,研究机构,国内-北京,文化遗产领域专业研究机构,12,故宫博物院文物保护所专注于文化遗产保护与修复领域的技术研发和应用实践。拥有一支多学科交叉的专业团队，开展文物病害诊断、保护材料研发、修复工艺优化等核心工作。参与多项国家级重点文物保护工程，在不可移动文物和可移动文物保护方面积累丰富经验，是文化遗产科技保护的中坚力量。,保护修复类研究机构标准描述
中国文物鉴定中心,研究机构,国内-北京,文化遗产领域专业研究机构,12,中国文物鉴定中心是北京文化遗产领域的专业研究机构。依托多学科交叉优势和丰富的学术资源，在考古学、文物保护科学、博物馆学等领域开展系统研究。承担多项省部级以上科研项目，参与重大文物保护工程，培养专业人才队伍，为区域乃至全国文化遗产保护事业提供学术支撑和技术保障。,研究机构通用标准描述
北京大学考古文博学院,研究机构,国内-北京,文化遗产领域专业研究机构,12,北京大学考古文博学院是北京文化遗产领域的专业研究机构。依托多学科交叉优势和丰富的学术资源，在考古学、文物保护科学、博物馆学等领域开展系统研究。承担多项省部级以上科研项目，参与重大文物保护工程，培养专业人才队伍，为区域乃至全国文化遗产保护事业提供学术支撑和技术保障。,研究机构通用标准描述
国际文化遗产保护研究中心,研究机构,国内-北京,国际文化遗产保护研究,10,国际文化遗产保护研究中心专注于文化遗产保护与修复领域的技术研发和应用实践。拥有一支多学科交叉的专业团队，开展文物病害诊断、保护材料研发、修复工艺优化等核心工作。参与多项国家级重点文物保护工程，在不可移动文物和可移动文物保护方面积累丰富经验，是文化遗产科技保护的中坚力量。,保护修复类研究机构标准描述
UNESCO世界遗产中心,国际组织,国际-法国,联合国教科文组织世界遗产中心,14,UNESCO世界遗产中心是文化遗产保护领域的重要国际组织，通过制定国际公约、提供技术援助、组织学术交流和能力建设活动，促进全球文化遗产保护事业发展。作为跨国合作平台，在文化遗产标准制定、保护实践指导和国际政策倡导方面发挥关键作用，推动各国在遗产保护领域的经验共享与协作。,国际组织标准描述
ICCROM,国际组织,国际-意大利,国际文物保护修复研究中心,12,ICCROM是文化遗产保护领域的重要国际组织，通过制定国际公约、提供技术援助、组织学术交流和能力建设活动，促进全球文化遗产保护事业发展。作为跨国合作平台，在文化遗产标准制定、保护实践指导和国际政策倡导方面发挥关键作用，推动各国在遗产保护领域的经验共享与协作。,国际组织标准描述
ICOMOS中国,国际组织,国际-中国,ICOMOS中国委员会,11,ICOMOS中国是文化遗产保护领域的重要国际组织，通过制定国际公约、提供技术援助、组织学术交流和能力建设活动，促进全球文化遗产保护事业发展。作为跨国合作平台，在文化遗产标准制定、保护实践指导和国际政策倡导方面发挥关键作用，推动各国在遗产保护领域的经验共享与协作。,国际组织标准描述
卢浮宫,博物馆,国际-法国,世界最大的艺术博物馆,10,卢浮宫位于法国巴黎，原为12世纪末建成的皇家宫殿，1793年作为博物馆正式对公众开放。收藏逾38万件艺术品，涵盖从古代文明到19世纪中叶的全球艺术珍品，包括达芬奇的《蒙娜丽莎》、米洛的维纳斯等镇馆之宝。作为世界最大艺术博物馆，每年接待游客数量居全球之首。,基于权威资料生成，含历史背景、收藏特色、地位影响
大都会艺术博物馆,博物馆,国际-美国,美国最大的艺术博物馆,10,大都会艺术博物馆位于纽约中央公园旁，1870年成立，是美国最大的艺术博物馆。馆藏逾200万件，跨越五千年世界文明，分为17个策展部门，涵盖欧洲绘画、埃及文物、亚洲艺术等。拥有伦勃朗、莫奈等大师杰作及完整的埃及丹铎神庙，是全球三大博物馆之一。,基于权威资料生成，含历史背景、收藏特色、地位影响
梵蒂冈博物馆,博物馆,国际-梵蒂冈,世界上最小的国家博物馆,11,梵蒂冈博物馆由教宗尤利乌斯二世于16世纪初创立，是世界上最小国家的博物馆群。包含西斯廷教堂、拉斐尔房间等著名展厅，藏有米开朗基罗《创世纪》和《最后的审判》等西方艺术巅峰之作。作为天主教艺术最高殿堂，每年吸引超过600万游客朝圣。,基于权威资料生成，含历史背景、收藏特色、地位影响
毕加索博物馆,博物馆,国际-法国,毕加索作品专题博物馆,10,毕加索博物馆位于巴黎玛黑区，1985年开馆，专门收藏展示巴勃罗·毕加索的艺术作品。馆藏逾5000件，涵盖油画、雕塑、素描、版画和陶瓷等，系统呈现毕加索从蓝色时期到立体主义的完整创作历程。是研究毕加索艺术最权威的机构之一，在现当代艺术领域具极高学术价值。,基于权威资料生成，含历史背景、收藏特色、地位影响
蓬皮杜艺术中心,博物馆,国际-法国,世界最大的现代艺术博物馆,12,蓬皮杜艺术中心坐落于巴黎市中心，1977年建成开放，以高技派外露结构闻名。拥有欧洲最大的现当代艺术收藏，逾12万件作品，涵盖野兽派、立体主义、超现实主义至当代。集现代艺术博物馆、公共图书馆、音乐研究中心于一体，是法国乃至全球文化地标。,基于权威资料生成，含历史背景、收藏特色、地位影响
伦敦自然历史博物馆,博物馆,国际-英国,世界最大的自然历史博物馆,12,伦敦自然历史博物馆成立于1881年，建筑本身为维多利亚时期杰作。馆藏逾8000万件标本，涵盖恐龙化石、陨石、珍稀矿物及动植物标本，尤以达尔文采集的标本为珍。作为世界最大的自然历史博物馆，是全球生物多样性研究和科普教育的重要中心。,基于权威资料生成，含历史背景、收藏特色、地位影响
V&A博物馆,博物馆,国际-英国,世界最大的装饰艺术博物馆,12,维多利亚与阿尔伯特博物馆（V&A）位于伦敦，1852年创立，以维多利亚女王和阿尔伯特亲王命名。是世界最大的装饰艺术和设计博物馆，馆藏逾230万件，涵盖陶瓷、玻璃、纺织、时装、珠宝、家具等五千年人类创造力结晶。是全球设计史研究和灵感源泉。,基于权威资料生成，含历史背景、收藏特色、地位影响
泰特现代美术馆,博物馆,国际-英国,世界最大现代艺术美术馆,11,泰特现代美术馆位于伦敦泰晤士河南岸，由废弃发电站改建而成，2000年开放。收藏1900年至今的英国及国际现当代艺术，包括毕加索、达利、沃霍尔等大师作品。涡轮大厅以大型装置艺术闻名，是世界参观人数最多的现代艺术美术馆之一。,基于权威资料生成，含历史背景、收藏特色、地位影响
史密森尼国家自然历史博物馆,博物馆,国际-美国,世界最大的自然历史博物馆,12,史密森尼国家自然历史博物馆位于华盛顿，隶属史密森尼学会，1910年开馆。拥有超过1.47亿件标本和文物，涵盖恐龙化石、'希望之钻'蓝宝石、人类起源化石等顶级藏品。作为世界最大的自然历史博物馆群的核心，是全球自然科学研究的领军机构。,基于权威资料生成，含历史背景、收藏特色、地位影响
美国国家航空航天博物馆,博物馆,国际-美国,世界最大的航空航天博物馆,12,美国国家航空航天博物馆位于华盛顿，隶属史密森尼学会，1976年开馆。收藏世界上最完整的航空航天器，包括莱特兄弟飞行器、阿波罗11号登月舱等。是世界最大的航空航天博物馆，每年吸引约700万游客，在航空史和宇宙探索教育中发挥核心作用。,基于权威资料生成，含历史背景、收藏特色、地位影响
现代艺术博物馆,博物馆,国际-美国,世界最大的现代艺术博物馆,12,现代艺术博物馆（MoMA）位于纽约曼哈顿，1929年创立。拥有世界最杰出的现当代艺术收藏之一，包括梵高《星夜》、毕加索《亚威农少女》、莫奈《睡莲》等。涵盖绘画雕塑、建筑设计、摄影电影等多领域，是定义现代艺术史走向的权威机构。,基于权威资料生成，含历史背景、收藏特色、地位影响
惠特尼美国艺术博物馆,博物馆,国际-美国,美国著名现代艺术博物馆,11,惠特尼美国艺术博物馆1930年由葛楚·范德比尔特·惠特尼创立，位于纽约。专注收藏和展示20世纪至当代美国艺术，以发掘新兴艺术家闻名，每两年举办惠特尼双年展。拥有霍珀、波洛克等美国艺术家的重量级作品，是美国当代艺术最重要的风向标。,基于权威资料生成，含历史背景、收藏特色、地位影响
盖蒂中心,博物馆,国际-美国,世界最大的艺术博物馆之一,12,盖蒂中心位于洛杉矶圣莫尼卡山顶，1997年开放，由保罗·盖蒂信托基金建立。收藏欧洲绘画、雕塑、装饰艺术及摄影作品，包括梵高《鸢尾花》等珍品。建筑由理查德·迈耶设计，集博物馆、研究机构和保护中心于一体，是世界最大艺术机构之一。,基于权威资料生成，含历史背景、收藏特色、地位影响
芝加哥艺术博物馆,博物馆,国际-美国,美国最大的艺术博物馆之一,12,芝加哥艺术博物馆1879年创立，是美国最古老最大的艺术博物馆之一。馆藏逾30万件，以印象派和后印象派收藏最为著名，包括修拉《大碗岛的星期天下午》、莫奈《草垛》系列等。还拥有丰富的亚洲艺术、现当代艺术收藏，在世界艺术版图中举足轻重。,基于权威资料生成，含历史背景、收藏特色、地位影响
费城艺术博物馆,博物馆,国际-美国,美国三大艺术博物馆之一,11,费城艺术博物馆1876年创立，是美国三大艺术博物馆之一。馆藏逾24万件，涵盖文艺复兴、印象派、现代艺术及亚洲艺术，藏有塞尚《大浴女》、杜尚《泉》等。建筑为新古典主义风格，因电影《洛奇》取景而闻名，是费城最重要的文化地标。,基于权威资料生成，含历史背景、收藏特色、地位影响
巴西国家博物馆,博物馆,国际-巴西,拉丁美洲最大的博物馆,10,巴西国家博物馆1818年由葡萄牙国王若昂六世创立于里约热内卢，是拉丁美洲最大的自然历史和人类学博物馆。馆藏逾2000万件，涵盖古埃及文物、巴西土著文化和美洲最大陨石等。2018年遭遇严重火灾，目前正重建中，是巴西科学文化的重要象征。,基于权威资料生成，含历史背景、收藏特色、地位影响
东京现代美术馆,博物馆,国际-日本,日本重要现代艺术博物馆,11,东京现代美术馆（MoMAT）位于东京千代田区，1952年开馆，是日本最重要的现当代艺术博物馆。馆藏逾1.3万件，涵盖20世纪初至今的日本及国际现代艺术，包括藤田嗣治、草间弥生等大师作品。是展现日本近代美术发展脉络的核心机构。,基于权威资料生成，含历史背景、收藏特色、地位影响
马来西亚国家博物馆,博物馆,国际-马来西亚,马来西亚最大的博物馆,10,马来西亚国家博物馆1963年正式对外开放，位于吉隆坡，建筑设计融合马来传统元素。馆藏涵盖史前考古、马来王权、殖民时期及独立建国历史，以青铜器、传统纺织品和民族器物为特色。是了解马来西亚多元文化、历史与自然遗产最重要的国家级平台。,基于权威资料生成，含历史背景、收藏特色、地位影响
澳大利亚国立博物馆,博物馆,国际-澳大利亚,澳大利亚最大的博物馆,10,澳大利亚国立博物馆1980年成立，2001年堪培拉新馆开放。以展示澳大利亚社会、环境和原住民文化为核心，馆藏逾20万件，涵盖土著艺术、殖民历史、自然生态等。建筑设计融合解构主义理念，是国家认同和文化表达的重要载体。,基于权威资料生成，含历史背景、收藏特色、地位影响
悉尼新南威尔士美术馆,博物馆,国际-澳大利亚,澳大利亚重要文博机构,10,新南威尔士美术馆位于悉尼，1874年创立，是澳大利亚最重要的公共美术馆之一。馆藏涵盖欧洲古典艺术、澳洲原住民艺术、亚洲艺术及当代艺术，以澳洲本土艺术收藏最为完整。位于皇家植物园旁的优雅建筑，是悉尼文化地标。,基于权威资料生成，含历史背景、收藏特色、地位影响
墨尔本维多利亚国家美术馆,博物馆,国际-澳大利亚,澳大利亚重要文博机构,10,维多利亚国家美术馆1861年创立于墨尔本，是澳大利亚最古老最大的美术馆。馆藏逾七万件，涵盖欧洲古典大师、印象派、大洋洲艺术及国际当代艺术。联邦广场馆以澳洲艺术为主，国际馆藏有伦勃朗等大师作品，是大洋洲艺术文化的核心平台。,基于权威资料生成，含历史背景、收藏特色、地位影响
尼日利亚国家博物馆,博物馆,国际-尼日利亚,尼日利亚最大的博物馆,10,尼日利亚国家博物馆位于拉各斯，1957年由英国考古学家肯尼斯·默里创立，是尼日利亚最大的博物馆。馆藏涵盖诺克文化赤陶像、伊费和贝宁青铜器及木雕等西非艺术珍品。是展示尼日利亚乃至西非丰富文化遗产的重要窗口，在非洲考古和民族学研究中具重要地位。,基于权威资料生成，含历史背景、收藏特色、地位影响
世界文物修复基金会,研究机构,国际-法国,文化遗产领域专业研究机构,12,世界文物修复基金会专注于文化遗产保护与修复领域的技术研发和应用实践。拥有一支多学科交叉的专业团队，开展文物病害诊断、保护材料研发、修复工艺优化等核心工作。参与多项国家级重点文物保护工程，在不可移动文物和可移动文物保护方面积累丰富经验，是文化遗产科技保护的中坚力量。,保护修复类研究机构标准描述
韩国文化财保护院,研究机构,国际-韩国,文化遗产领域专业研究机构,12,韩国文化财保护院专注于文化遗产保护与修复领域的技术研发和应用实践。拥有一支多学科交叉的专业团队，开展文物病害诊断、保护材料研发、修复工艺优化等核心工作。参与多项国家级重点文物保护工程，在不可移动文物和可移动文物保护方面积累丰富经验，是文化遗产科技保护的中坚力量。,保护修复类研究机构标准描述
法兰西学院,研究机构,国际-法国,文化遗产领域专业研究机构,12,法兰西学院是法国文化遗产领域的专业研究机构。依托多学科交叉优势和丰富的学术资源，在考古学、文物保护科学、博物馆学等领域开展系统研究。承担多项省部级以上科研项目，参与重大文物保护工程，培养专业人才队伍，为区域乃至全国文化遗产保护事业提供学术支撑和技术保障。,研究机构通用标准描述
哈佛大学艺术与建筑史系,研究机构,国际-美国,文化遗产领域专业研究机构,12,哈佛大学艺术与建筑史系是美国文化遗产教育与研究的重要学术机构。依托所在高校的学科优势和师资力量，系统开展考古学、文物与博物馆学、艺术史等领域的教学科研和人才培养工作。承担国家级省部级科研项目，在国际学术交流与合作中发挥积极作用，为文化遗产保护事业培养高层次专业人才。,高校研究机构标准描述
哈佛大学考古学系,研究机构,国际-美国,文化遗产领域专业研究机构,12,哈佛大学考古学系是美国文化遗产教育与研究的重要学术机构。依托所在高校的学科优势和师资力量，系统开展考古学、文物与博物馆学、艺术史等领域的教学科研和人才培养工作。承担国家级省部级科研项目，在国际学术交流与合作中发挥积极作用，为文化遗产保护事业培养高层次专业人才。,高校研究机构标准描述
哈佛大学人类学系,研究机构,国际-美国,文化遗产领域专业研究机构,12,哈佛大学人类学系是美国文化遗产教育与研究的重要学术机构。依托所在高校的学科优势和师资力量，系统开展考古学、文物与博物馆学、艺术史等领域的教学科研和人才培养工作。承担国家级省部级科研项目，在国际学术交流与合作中发挥积极作用，为文化遗产保护事业培养高层次专业人才。,高校研究机构标准描述
牛津大学考古学院,研究机构,国际-英国,文化遗产领域专业研究机构,12,牛津大学考古学院是英国文化遗产教育与研究的重要学术机构。依托所在高校的学科优势和师资力量，系统开展考古学、文物与博物馆学、艺术史等领域的教学科研和人才培养工作。承担国家级省部级科研项目，在国际学术交流与合作中发挥积极作用，为文化遗产保护事业培养高层次专业人才。,高校研究机构标准描述
牛津大学艺术史系,研究机构,国际-英国,文化遗产领域专业研究机构,12,牛津大学艺术史系是英国文化遗产教育与研究的重要学术机构。依托所在高校的学科优势和师资力量，系统开展考古学、文物与博物馆学、艺术史等领域的教学科研和人才培养工作。承担国家级省部级科研项目，在国际学术交流与合作中发挥积极作用，为文化遗产保护事业培养高层次专业人才。,高校研究机构标准描述
剑桥大学考古与人类学系,研究机构,国际-英国,文化遗产领域专业研究机构,12,剑桥大学考古与人类学系是英国文化遗产教育与研究的重要学术机构。依托所在高校的学科优势和师资力量，系统开展考古学、文物与博物馆学、艺术史等领域的教学科研和人才培养工作。承担国家级省部级科研项目，在国际学术交流与合作中发挥积极作用，为文化遗产保护事业培养高层次专业人才。,高校研究机构标准描述
剑桥大学艺术史系,研究机构,国际-英国,文化遗产领域专业研究机构,12,剑桥大学艺术史系是英国文化遗产教育与研究的重要学术机构。依托所在高校的学科优势和师资力量，系统开展考古学、文物与博物馆学、艺术史等领域的教学科研和人才培养工作。承担国家级省部级科研项目，在国际学术交流与合作中发挥积极作用，为文化遗产保护事业培养高层次专业人才。,高校研究机构标准描述
斯坦福大学艺术与艺术史系,研究机构,国际-美国,文化遗产领域专业研究机构,12,斯坦福大学艺术与艺术史系是美国文化遗产教育与研究的重要学术机构。依托所在高校的学科优势和师资力量，系统开展考古学、文物与博物馆学、艺术史等领域的教学科研和人才培养工作。承担国家级省部级科研项目，在国际学术交流与合作中发挥积极作用，为文化遗产保护事业培养高层次专业人才。,高校研究机构标准描述
斯坦福大学考古中心,研究机构,国际-美国,文化遗产领域专业研究机构,12,斯坦福大学考古中心是美国文化遗产教育与研究的重要学术机构。依托所在高校的学科优势和师资力量，系统开展考古学、文物与博物馆学、艺术史等领域的教学科研和人才培养工作。承担国家级省部级科研项目，在国际学术交流与合作中发挥积极作用，为文化遗产保护事业培养高层次专业人才。,高校研究机构标准描述
